id,age,salary,score,experience_years,projects_completed,customer_count,monthly_sales,rating,attendance_percent,bonus,department_code
1,38,39375,66,5,46,3980,28346,3.3,74.0,2003,625
2,30,113141,68,18,45,3169,52419,3.0,64.0,4385,482
3,38,158227,86,9,7,4205,94441,2.0,92.3,18395,780
4,35,179048,71,19,32,125,73300,2.1,91.9,41537,434
5,43,50401,44,4,5,5000,34373,1.8,79.3,40867,136
6,43,182840,20,14,30,444,44345,4.7,71.2,6367,187
7,31,187936,41,7,45,2086,86275,1.7,60.3,16880,149
8,56,193688,98,11,34,699,45514,4.3,61.6,44473,277
9,39,103921,94,0,23,2697,62758,4.5,93.7,6177,340
10,63,180411,53,7,12,4419,94106,1.1,98.9,38504,124
11,33,170562,33,15,28,1524,2619,4.9,94.4,6422,240
12,23,161882,24,1,16,1454,47253,1.8,71.9,39272,172
13,63,124533,90,4,37,2761,26646,1.7,76.2,31279,786
14,26,37582,22,15,45,2227,62049,2.8,87.5,2571,526
15,32,81636,97,1,38,1973,20215,1.0,96.4,9108,259
16,18,148839,23,10,50,555,88195,3.3,72.4,35417,421
17,22,69408,9,18,49,3628,32850,2.6,78.8,20144,234
18,51,104776,1,7,2,3757,44061,2.1,94.2,17847,623
19,60,140886,58,6,11,3147,22960,2.0,73.7,47349,681
20,46,140708,69,2,33,3643,79705,3.0,72.9,6280,357
21,40,184741,42,8,31,2299,25185,2.2,64.5,40311,807
22,20,177588,82,11,32,496,6513,4.7,93.2,1226,406
23,53,175946,52,4,31,3972,62817,4.1,78.6,35765,294
24,62,183062,0,4,20,3811,43031,3.7,71.9,17876,184
25,45,88158,43,18,41,1542,8575,5.0,63.9,11219,668
26,19,173107,48,19,41,4687,75474,2.0,86.0,43523,994
27,18,32345,19,8,9,2928,28928,1.6,74.9,7063,512
28,39,187439,66,0,46,3403,64395,3.8,64.7,31347,728
29,65,117202,29,0,36,2818,72356,3.1,66.3,14399,961
30,24,37120,37,3,6,2754,94556,2.4,65.9,6133,132
31,56,129117,29,6,3,4633,92350,3.4,87.2,21695,775
32,45,74457,57,6,33,4809,8725,4.4,94.6,19055,655
33,39,142126,43,3,1,1777,18664,2.5,69.5,32583,464
34,22,136988,99,19,15,4554,10245,4.6,71.8,38256,836
35,57,128563,53,18,39,2955,17500,4.9,91.7,44595,478
36,43,96170,30,0,20,88,86342,3.8,74.7,28702,809
37,23,192699,85,10,37,2382,55745,4.5,91.3,48936,548
38,51,180824,56,9,46,4150,65846,4.5,76.7,1489,910
39,38,199639,47,7,17,4973,36625,4.6,91.2,14974,294
40,25,76058,16,20,29,29,87692,1.4,62.3,48251,364
41,32,152468,43,16,23,4035,82477,3.7,60.4,23567,293
42,51,193007,76,7,1,1036,95805,1.0,70.2,12357,461
43,51,107632,45,16,26,460,34853,3.6,89.5,21798,926
44,45,102305,59,8,48,3545,81849,3.8,76.6,17467,999
45,60,179672,61,4,47,3078,39499,3.8,98.1,27758,343
46,40,95572,59,8,13,3863,10284,4.7,63.3,10412,940
47,53,120933,74,16,44,3637,45466,3.6,94.6,44178,166
48,34,113727,20,19,29,2842,79534,1.4,62.0,36665,818
49,57,138630,53,16,39,1058,73865,1.7,96.9,46362,252
50,33,69735,64,4,5,2291,32038,3.1,85.6,25316,981
51,62,95864,8,2,40,4315,51981,4.7,91.7,22651,476
52,24,93302,47,2,32,4364,85105,3.1,61.9,33250,506
53,35,74172,97,17,26,3370,15748,4.2,98.1,40108,861
54,33,151293,40,8,6,775,84840,2.4,68.2,22469,567
55,23,78137,80,9,41,1530,55131,3.0,88.5,42552,811
56,51,34188,99,2,20,4281,16252,2.1,90.8,27952,209
57,61,167990,70,11,24,4399,60485,3.5,94.5,45947,675
58,39,99287,24,9,22,4648,81626,4.4,84.6,39794,188
59,27,57001,46,10,16,4167,33772,2.9,84.4,24043,292
60,35,165493,91,18,17,2990,59441,4.2,62.7,18477,438
61,42,104859,96,2,49,1941,32706,3.3,73.5,43493,681
62,55,87496,47,8,20,1855,51171,2.0,85.4,6689,165
63,46,199743,56,6,30,4938,61590,4.3,90.7,21853,946
64,33,98213,35,15,49,3342,50197,1.3,63.2,38193,345
65,64,146830,12,7,28,3428,68856,4.3,89.8,24867,368
66,42,170768,7,0,16,1421,28049,1.1,64.7,25464,438
67,38,134369,66,1,17,1475,27598,3.6,90.7,16432,150
68,21,150092,42,11,4,4800,89866,3.7,88.3,18864,582
69,59,128131,55,14,29,1474,99431,3.4,83.3,45730,156
70,46,132175,83,13,43,4120,97571,3.9,68.7,22484,582
71,60,178748,48,4,35,3816,95126,2.7,90.5,5538,861
72,48,138561,13,11,46,4647,26361,2.3,63.5,29080,147
73,60,99488,11,18,33,1910,30686,4.8,64.5,13234,504
74,39,180980,25,2,40,3281,88113,2.8,83.5,27483,646
75,19,176297,4,14,50,3483,70694,1.1,75.6,29532,416
76,49,138568,93,7,29,1870,2278,4.7,81.3,13281,224
77,64,64065,64,4,38,3588,56695,3.1,91.9,29192,463
78,47,61894,35,5,2,3447,13700,2.7,91.3,23533,753
79,59,51554,71,7,20,1306,28181,1.4,75.2,28506,814
80,52,147937,58,16,40,1867,87499,3.0,69.4,13350,413
81,56,47863,77,19,46,297,15846,4.2,96.7,38144,623
82,46,30656,3,8,11,3677,36295,3.9,96.3,21864,112
83,31,56713,5,7,18,1931,45134,1.7,84.1,8404,868
84,28,155382,13,10,19,3668,99074,3.8,72.1,7599,178
85,58,107400,89,16,22,2834,48266,1.1,66.2,13051,963
86,46,189938,33,3,23,2532,15712,1.1,91.3,1369,710
87,47,159287,50,14,37,2040,17775,4.2,69.3,41154,796
88,42,80599,13,20,31,655,4672,2.5,76.0,13692,535
89,34,196299,18,8,43,3150,24284,3.7,93.3,20408,399
90,47,66255,7,3,45,2005,55832,2.2,86.7,40664,212
91,63,140765,89,7,36,1217,81120,2.1,94.9,20589,546
92,57,85479,73,8,41,676,38915,4.6,82.7,47962,315
93,31,156925,30,0,29,3617,44957,1.3,86.5,27379,987
94,26,35549,96,0,37,2486,88953,3.2,93.5,30657,222
95,46,149958,17,2,29,1114,12374,4.5,94.4,26218,856
96,24,98385,89,9,28,2004,40716,2.5,77.4,28655,808
97,44,78217,51,18,1,1769,68988,2.2,67.6,42321,622
98,45,196632,94,16,45,3306,82470,3.6,89.7,32344,438
99,63,121352,9,10,27,388,6452,3.9,92.3,6911,960
100,25,96706,29,3,37,181,39718,3.3,86.7,12885,684
